are tricky so maybe
      0 100.00%: 
      1 26.27%:  are trick
      2 25.70%:  are a
      3 25.66%:  are tricky be
      4 25.07%:  are tricky so
      5 24.22%:  are a trick
      6 23.37%:  are a tricky b
      7 22.88%:  are my
      8 22.84%:  are so
      9 22.83%:  are im
     10 22.82%:  are sort
     11 22.67%:  are to
     12 22.66%:  are more
     13 22.61%:  are easy
     14 22.55%:  are best
     15 22.52%:  are at
     16 22.52%:  are scary
     17 22.51%:  are 
     18 22.51%:  are as
     19 21.85%:  are to be im
     20 21.64%:  are sorta
     21 20.04%:  are tricksy
     22 19.75%:  are a bit
