would still like to hear about the sex, however!
Step          0 (remaining mass 31.406%): Next token is ' would', score is 14.30659% (0.754%, 87.234%, 5)
Step          1 (remaining mass 10.946%): Next token is ' still', score is 0.74760% (0.482%, 93.056%, 10)
Step        114 (remaining mass 2.664%): Next token is ' like', score is 1.20929% (25.069%, 90.019%, 14)
Step        115 (remaining mass 2.662%): Next token is ' to', score is 2.11421% (62.545%, 91.970%, 16)
Step        116 (remaining mass 2.661%): Next token is ' hear', score is 0.21584% (1.321%, 85.357%, 20)
Step        328 (remaining mass 1.544%): Next token is ' about', score is 0.40031% (7.789%, 67.170%, 25)
Step        329 (remaining mass 1.544%): Next token is ' the', score is 0.54172% (8.991%, 67.270%, 28)
Step        330 (remaining mass 1.544%): Next token is ' sex', score is 0.17630% (1.426%, 66.858%, 31)
Step        393 (remaining mass 1.393%): Next token is ',', score is 0.16071% (28.160%, 71.458%, 32)
' would still like to hear about the sex however' (2.33%)
Search successful after 394 steps. Deepest node accessed: 0
Search time: 14s.  (Non-ML: 1s)  Per-step times: Score: 8ms  Advance: 0ms  Predict: 27ms  Truncate: 0ms.

         0 0* 29.38199% (87.439%) ( 67%)  should                                                                                                                       -------aabeeeehiikllloorsttttuwx,!
         1 0* 14.30659% (88.585%) ( 87%)  would                                                                                                                        -------aabeeeehhiikllloorssttttux,!
         2 0* 8.50221% (89.138%) ( 90%)  will                                                                                                                         -------aabdeeeehhikllooorssttttuux,!
         3 0* 7.94453% (89.704%) ( 82%)  would like                                                                                                                   -------aabeeehhilloorssttttux,!
         4 0* 16.91828% (89.712%) ( 87%)  would like to                                                                                                                -------aabeeehhillorsstttux,!
         5 0* 7.06617% (89.759%) ( 86%)  bet                                                                                                                          -------aadeeehhiikllllooorsstttuuwx,!
         6 0* 6.79910% (90.406%) ( 88%)  still                                                                                                                        -------aabdeeeehhikllooorstttuuwx,!
         7 0* 6.74761% (90.732%) ( 85%)  also                                                                                                                         -------abdeeeehhiikllloorsttttuuwx,!
         8 0* 5.93889% (91.241%) ( 60%)  wish                                                                                                                         -------aabdeeeehikllllooorsttttuux,!
         9 0* 5.70727% (91.920%) ( 68%)  was                                                                                                                          -------abdeeeehhiikllllooorsttttuux,!
        10 0* 5.60351% (92.731%) ( 85%)  wrote                                                                                                                        -------aabdeeehhiiklllloosstttuux,!
        11 0* 11.08401% (92.795%) ( 81%)  wrote this                                                                                                                   -------aabdeeehiklllloosttuux,!
        12 0* 5.79291% (92.881%) ( 57%)  wrote that                                                                                                                   -------abdeeehiiklllloosstuux,!
        13 0* 4.68982% (92.937%) ( 72%)  said                                                                                                                         -------abeeeehhikllllooorsttttuuwx,!
        14 0* 4.60416% (93.233%) ( 77%)  should write                                                                                                                 -------aabeeehikllloostttux,!
        15 0* 6.85664% (93.239%) ( 46%)  should write that                                                                                                            -------abeeeikllloostux,!
        16 0* 4.44050% (93.244%) ( 66%)  hate                                                                                                                         -------abdeeehiikllllooorsstttuuwx,!
        17 0* 4.43250% (93.489%) ( 72%)  should be                                                                                                                    -------aaeeehiikllloorsttttuwx,!
        18 0* 4.34114% (93.546%) ( 90%)  like                                                                                                                         -------aabdeeehhilllooorssttttuuwx,!
        19 0* 4.31700% (93.724%) ( 78%)  tried                                                                                                                        -------aabeeehhikllllooosstttuuwx,!
        20 0* 6.53938% (93.780%) ( 80%)  tried to                                                                                                                     -------aabeeehhiklllloossttuuwx,!
        21 0* 3.70835% (93.903%) ( 69%)  sure                                                                                                                         -------aabdeeehhiikllllooosttttuwx,!
        22 0* 3.68598% (94.276%) ( 75%)  used                                                                                                                         -------aabeeehhiikllllooorsttttuwx,!
        23 0* 6.72227% (94.338%) ( 88%)  used to                                                                                                                      -------aabeeehhiiklllloorstttuwx,!
        24 0* 4.30634% (94.477%) ( 82%)  used to be                                                                                                                   -------aaeehhiiklllloorstttuwx,!
        25 0* 3.03376% (94.505%) ( 80%)  would break                                                                                                                  -------aeeehhiillloossttttux,!
        26 0* 2.96675% (94.522%) ( 89%)  would be                                                                                                                     -------aaeeehhiikllloorssttttux,!
        27 0* 2.88234% (94.558%) ( 84%)  would like to be                                                                                                             -------aaeehhillorsstttux,!
        28 0* 2.73130% (94.561%) ( 71%)  hate to                                                                                                                      -------abdeeehiiklllloorssttuuwx,!
        29 0* 3.67393% (94.618%) ( 57%)  hate to break                                                                                                                -------deehiilllloossttuuwx,!
        30 0* 3.72343% (94.623%) ( 36%)  hate to break it                                                                                                             -------deehilllloosstuuwx,!
        31 0* 5.31067% (94.624%) (  8%)  hate to break it to                                                                                                          -------deehillllossuuwx,!
        32 0* 2.71058% (94.634%) ( 66%)  should break                                                                                                                 -------aeeehiillloosttttuwx,!
        33 0* 2.64174% (94.646%) ( 77%)  would be too                                                                                                                 -------aaeeehhiiklllrsstttux,!
        34 0* 2.60952% (94.650%) ( 91%)  broke                                                                                                                        -------aadeeehhiilllloossttttuuwx,!
        35 0* 2.52739% (94.777%) ( 73%)  would be too!                                                                                                                -------aaeeehhiiklllrsstttux,
        36 0* 2.42323% (94.787%) ( 92%)  like to                                                                                                                      -------aabdeeehhillloorsstttuuwx,!
        37 0* 2.13507% (94.854%) ( 63%)  hear                                                                                                                         -------abdeeehiikllllooossttttuuwx,!
        38 0* 2.12445% (95.005%) ( 61%)  heard                                                                                                                        -------abeeehiikllllooossttttuuwx,!
        39 0* 1.94197% (95.078%) ( 67%)  bet this                                                                                                                     -------aadeeehikllllooorsttuuwx,!
        40 0* 1.93222% (95.125%) ( 88%)  will be                                                                                                                      -------aadeeehhikllooorssttttuux,!
        41 0* 1.88528% (95.180%) ( 35%)  hate this                                                                                                                    -------abdeeeikllllooorsttuuwx,!
        42 0* 1.75334% (95.232%) ( 65%)  had                                                                                                                          -------abeeeehiikllllooorssttttuuwx,!
        43 0* 1.74108% (95.344%) ( 94%)  told                                                                                                                         -------aabeeeehhiikllloorsstttuuwx,!
        44 0* 1.72606% (95.462%) ( 78%)  had to                                                                                                                       -------abeeeehiiklllloorsstttuuwx,!
        45 0* 1.72528% (95.541%) ( 93%) ,                                                                                                                             -------aabdeeeehhiikllllooorssttttuuwx!
        46 0* 1.68707% (95.888%) ( 81%)  used to like                                                                                                                 -------aabeehhillloorstttuwx,!
        47 0* 1.66924% (95.896%) ( 58%)  swear                                                                                                                        -------abdeeehhiikllllooosttttuux,!
        48 0* 1.66505% (95.940%) ( 85%)  take                                                                                                                         -------abdeeehhiillllooorsstttuuwx,!
        49 0* 1.79984% (95.964%) ( 76%)  take it                                                                                                                      -------abdeeehhillllooorssttuuwx,!
        50 0* 2.80765% (96.008%) ( 84%)  take it all                                                                                                                  -------bdeeehhillooorssttuuwx,!
        51 0* 1.58695% (96.032%) ( 52%)  should be the                                                                                                                -------aaeeiikllloorstttuwx,!
        52 0* 1.57981% (96.041%) ( 32%)  should write this                                                                                                            -------aabeeekllloottux,!
        53 0* 1.57365% (96.043%) ( 24%)  said that                                                                                                                    -------beeeehikllllooorsttuuwx,!
        54 0* 1.56538% (96.084%) ( 59%)  used to be a                                                                                                                 -------aeehhiiklllloorstttuwx,!
        55 0* 1.49818% (96.103%) ( 58%)  said it                                                                                                                      -------abeeeehhkllllooorstttuuwx,!
        56 0* 1.48364% (96.147%) ( 80%)  should take                                                                                                                  -------abeeehiillloorstttuwx,!
        57 0* 1.91629% (96.151%) ( 55%)  should take this                                                                                                             -------abeeeillloorttuwx,!
        58 0* 1.44646% (96.153%) ( 80%)  like that                                                                                                                    -------abdeeehilllooorssttuuwx,!
        59 0* 1.43465% (96.165%) ( 60%)  tried to be                                                                                                                  -------aaeehhiklllloossttuuwx,!
        60 0* 1.40552% (96.180%) ( 50%)  was the                                                                                                                      -------abdeeehiikllllooorstttuux,!
        61 0* 1.39057% (96.262%) ( 88%)  liked                                                                                                                        -------aabeeehhilllooorssttttuuwx,!
        62 0* 1.36263% (96.309%) ( 36%)  hate to break this                                                                                                           -------deeilllloostuuwx,!
        63 0* 1.91444% (96.309%) ( 11%)  hate to break this to                                                                                                        -------deeillllosuuwx,!
        64 0* 1.35664% (96.310%) ( 35%)  should also                                                                                                                  -------abeeeehiikllorttttuwx,!
        65 0* 1.31836% (96.325%) ( 80%)  drew                                                                                                                         -------aabeeehhiikllllooossttttuux,!
        66 0* 3.17002% (96.345%) ( 54%)  drew this                                                                                                                    -------aabeeehikllllooostttuux,!
        67 0* 1.30820% (96.406%) ( 18%)  heard that                                                                                                                   -------beeeiikllllooossttuuwx,!
        68 0* 1.28075% (96.422%) ( 95%)  look                                                                                                                         -------aabdeeeehhiilllorssttttuuwx,!
        69 0* 1.24570% (96.512%) ( 62%)  would also                                                                                                                   -------abeeeehhiikllorsttttux,!
        70 0* 5.39711% (96.516%) ( 62%)  would also like                                                                                                              -------abeeehhilorsttttux,!
        71 0* 14.06465% (96.517%) ( 71%)  would also like to                                                                                                           -------abeeehhilrstttux,!
        72 0* 1.38501% (96.524%) ( 25%)  would also like to state                                                                                                     -------beehhilrtux,!
        73 0* 1.21595% (96.524%) ( 73%)  like this                                                                                                                    -------aabdeeehlllooorstttuuwx,!
        74 0* 1.17437% (96.541%) ( 26%)  hear that                                                                                                                    -------bdeeeiikllllooossttuuwx,!
        75 0* 1.15213% (96.569%) ( 11%)  wrote that last                                                                                                              -------bdeeehiikllloosuux,!
        76 0* 1.09851% (96.575%) ( 53%)  hate to be                                                                                                                   -------adeehiiklllloorssttuuwx,!
        77 0* 1.08874% (96.579%) ( 22%)  take that                                                                                                                    -------bdeeehiillllooorsstuuwx,!
        78 0* 1.08555% (96.625%) ( 94%)  doubt                                                                                                                        -------aaeeeehhiiklllloorsstttuwx,!
        79 0* 1.08428% (96.651%) ( 69%)  should tell                                                                                                                  -------aabeeehiikloorstttuwx,!
        80 0* 1.07480% (96.657%) ( 54%)  would like to see                                                                                                            -------aabehhillorstttux,!
        81 0* 1.08731% (96.658%) ( 59%)  would like to see this                                                                                                       -------aabehllorttux,!
        82 0* 1.07170% (96.658%) ( 10%)  hate to be the                                                                                                               -------adeiiklllloorsstuuwx,!
